PersonID,PAH,Gender,PregnantThisYear,Age,Relationship,MaritalStatus,ResidentialStatus,Education,PrimaryOccupation,SecondaryOccupation,PrimarySkill,SecondarySkill,Disabled,Disabilities
408,PAH001,Female,FALSE,40,Household Head,Married,Live in Household,Some Senior Secondary,Farmer,None,Baker,Tailoring,FALSE,
879,PAH001,Male,FALSE,45,Household Head,Married,Live in Household,Completed Primary (Grade 7),Formally Employed (Other),Farmer,Driving,None,FALSE,
880,PAH002,Female,FALSE,40,Household Head,Married,Live in Household,Some Junior Secondary,Farmer,Farmer,Tailoring,Beautician_Hairdresser,FALSE,
409,PAH002,Male,FALSE,30,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,Farmer,None,None,FALSE,
120,PAH004,Female,FALSE,21,Household Head,Single,Live in Household,Completed Primary (Grade 7),Farmer,None,None,None,FALSE,
121,PAH005,Female,FALSE,28,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Farmer,None,None,FALSE,
122,PAH006,Male,FALSE,69,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Pieceworker,Selling cattlebussb,Bussiness,FALSE,
123,PAH007,Male,FALSE,68,Household Head,Married,Lives in Sioma Town,Trade Diploma,Self-Employed Businessperson,Farmer,Teaching,contractor building,FALSE,
124,PAH008,Female,FALSE,57,Household Head,Single,Live in Household,Some Senior Secondary,Self-Employed Businessperson,Farmer,None,,FALSE,
105,PAH009,Male,FALSE,52,Household Head,Married,Live in Household,Completed Senior Secondary (Grade 12),Farmer,Farmer,Masonry_bricklaying,,FALSE,
106,PAH013,Female,FALSE,83,Household Head,Widowed,Live in Household,Some Junior Secondary,Farmer,Farmer,None,,FALSE,
106,PAH013,Female,FALSE,83,Household Head,Widowed,Live in Household,Some Junior Secondary,Farmer,Farmer,None,,FALSE,
129,PAH018,Female,FALSE,27,Household Head,Single,Live in Household,Some Primary School,Farmer,Farmer,Mate waving,,FALSE,
130,PAH021,Female,FALSE,50,Household Head,Widowed,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Farmer,None,,FALSE,
411,PAH022,Male,FALSE,29,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,Carpenter,Carpentry,,FALSE,
882,PAH022,Female,FALSE,20,Household Head,Married,Live in Household,Some Primary School,Pieceworker,Informal Trader,,,FALSE,
132,PAH023,Female,TRUE,27,Household Head,Single,Live in Household,Completed Senior Secondary (Grade 12),Farmer,None,Baker,,FALSE,
412,PAH024,Male,FALSE,25,Household Head,Married,Live in Household,Some Primary School,Bricklaying,Farmer,Masonry_bricklaying,,FALSE,
133,PAH025,Female,FALSE,54,Household Head,Widowed,Live in Household,Pre-School (Below Age 5),Farmer,,Fishing,,FALSE,
