nhs,person_id,survey_phase,social_survey,catch_survey,catch_data_survey,type,maungwe_active,maungwe_annual_earnings,limbelo_active,limbelo_annual_earnings,limbelo_traps,maungwe_traps,limbelo_annual_buckets,limbelo_days_fished
NHS034,1665,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS035,1666,1,Yes,No,Yes,Maungwe,Active," 40,500 ",N/A,0,0,27,,
NHS036,1667,1,Yes,No,Yes,Maungwe,Active," 45,000 ",N/A,0,0,30,,
NHS037,1668,1,Yes,No,Yes,Maungwe,Active," 67,500 ",N/A,0,0,45,,
NHS038,1669,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS039,1670,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS040,1671,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,10,,
NHS041,1672,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,15,,
NHS042,1673,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,25,,
NHS043,1674,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,8,,
NHS044,1675,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,25,,
NHS045,1676,1,Yes,No,Yes,Maungwe,Active," 45,000 ",N/A,0,0,30,,
NHS046,1677,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,15,,
NHS047,1678,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,25,,
NHS048,1679,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,10,,
NHS049,1680,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,4,,
NHS050,1681,1,Yes,No,No,Maungwe,Active," 43,500 ",N/A,0,0,29,,
NHS051,1682,1,Yes,No,No,Maungwe,Active," 67,500 ",N/A,0,0,45,,
NHS052,1683,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,12,,
NHS053,1684,1,Yes,No,No,Maungwe,Active," 30,000 ",N/A,0,0,20,,
NHS054,1685,1,Yes,No,No,Maungwe,Active," 97,500 ",N/A,0,0,65,,
NHS055,1686,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,21,,
NHS056,1687,1,Yes,No,Yes,Maungwe,Active," 42,000 ",N/A,0,0,28,,
NHS057,1688,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS058,1689,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS059,1690,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS060,1691,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS061,1692,1,Yes,No,No,Maungwe,Inactive,,Inactive,0,3,20,,
NHS062,1693,1,No,No,No,Maungwe,Inactive,,N/A,0,0,7,,
NHS063,1694,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,22,,
NHS064,1695,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,12,,
NHS065,1696,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS066,1697,1,Yes,No,Yes,Maungwe,Active," 39,000 ",N/A,0,0,26,,
NHS067,1698,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,25,,
NHS068,1699,1,No,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS069,1700,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,25,,
NHS070,1701,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,15,,
NHS071,1702,1,No,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS072,1703,1,No,No,No,Maungwe,Inactive,,N/A,0,0,1,,
NHS073,1704,1,Yes,No,Yes,Maungwe,Active," 45,000 ",N/A,0,0,30,,
NHS074,1705,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,11,,
NHS075,1706,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,13,,
NHS076,1707,1,Yes,Yes,Yes,Both,Active," 24,000 ",Active," 4,382 ",3,16,13.2,29
NHS077,1708,1,Yes,No,Yes,Maungwe,Active," 22,500 ",N/A,0,0,15,,
NHS078,1709,1,Yes,No,No,Maungwe,Active," 39,000 ",N/A,0,0,0,,
NHS079,1710,1,Yes,No,Yes,Maungwe,Active," 36,000 ",N/A,0,0,24,,
NHS080,1711,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,16,,
NHS081,1712,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,5,,
NHS082,1713,1,Yes,No,Yes,Maungwe,Active," 15,000 ",N/A,0,0,10,,
NHS083,1714,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS084,1715,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,20,,
NHS085,1716,1,Yes,No,Yes,Maungwe,Active," 67,500 ",N/A,0,0,45,,
NHS086,1717,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,5,,
NHS087,1718,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,5,,
NHS088,1719,1,No,No,No,Maungwe,Inactive,,N/A,0,0,1,,
NHS089,1720,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,5,,
NHS090,1721,1,No,No,No,Maungwe,Inactive,,N/A,0,0,8,,
NHS091,1722,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,4,,
NHS092,1723,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,7,,
NHS093,1724,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,30,,
NHS094,1725,1,Yes,Yes,Yes,Both,Active," 3,000 ",Active," 5,727 ",3,2,17.25,20
NHS095,1726,1,Yes,Yes,Yes,Both,Active," 6,000 ",Active," 45,567 ",7,4,137.25,51
NHS096,1727,1,Yes,Yes,Yes,Both,Active," 9,000 ",Active," 7,885 ",5,6,23.75,35
NHS097,1728,1,Yes,Yes,Yes,Both,Active," 1,500 ",Active," 2,971 ",1,1,8.95,17
NHS098,1729,1,Yes,No,No,Limbelo,N/A,,Inactive,0,3,0,,
NHS099,1730,1,Yes,Yes,Yes,Both,Inactive,,Active," 13,496 ",3,4,40.65,53
NHS100,1731,1,Yes,No,No,Both,Inactive,,Inactive,0,3,7,,
NHS101,1732,1,Yes,Yes,No,Both,Inactive,,Active," 27,307 ",8,30,82.25,29
NHS102,1733,1,Yes,Yes,No,Both,Inactive,,Active," 7,055 ",2,4,21.25,24
